state, district, state_name, party, representative, obama_raw, romney_raw, other_raw, romney_percentage, obama_percentage, romney_percentage, other_percentage
Colorado,1,Colorado,D,Diana DeGette,254400,106334,8064,68.98,28.83,2.19,
Connecticut,1,Connecticut,D,John B. Larson,200910,112962,3564,63.29,35.59,1.12,
Connecticut,2,Connecticut,D,Joe Courtney,177522,135212,4908,55.89,42.57,1.55,
Connecticut,3,Connecticut,D,Rosa L. DeLauro,191189,110856,3385,62.6,36.3,1.11,
Connecticut,5,Connecticut,D,Elizabeth H. Esty,164627,139324,3584,53.53,45.3,1.17,
Delaware,(at Large),Delaware,D,John C. Carney Jr.,242547,165476,5821,58.6,40,1.4,
Idaho,1,Idaho,R,Ra?l R. Labrador,105645,213080,9533,32.18,64.91,2.9,
Idaho,2,Idaho,R,Michael K. Simpson,107142,207831,9043,33.07,64.14,2.79,
Illinois,12,Illinois,D,William L. Enyart,153718,149163,6603,49.67,48.2,2.13,
Illinois,15,Illinois,R,John Shimkus,105069,197295,6155,34.06,63.95,2,
Illinois,13,Illinois,R,Rodney Davis,146431,147359,7266,48.64,48.95,2.41,
Illinois,17,Illinois,D,Cheri Bustos,168918,119412,5222,57.54,40.68,1.78,
Illinois,16,Illinois,R,Adam Kinzinger,137881,160820,5927,45.26,52.79,1.95,
Illinois,18,Illinois,R,Aaron Schock,125331,202950,6494,37.44,60.62,1.94,
Illinois,14,Illinois,R,Randy Hultgren,141356,172895,5187,44.25,54.12,1.62,
Illinois,10,Illinois,D,Bradley S. Schneider,157398,112557,3664,57.52,41.14,1.34,
Illinois,8,Illinois,D,Tammy Duckworth,132727,94833,3866,57.35,40.98,1.67,
Illinois,6,Illinois,R,Peter J. Roskam,152460,179856,5414,45.14,53.25,1.6,
Illinois,5,Illinois,D,Mike Quigley,188320,90746,6172,66.02,31.81,2.16,
Illinois,4,Illinois,D,Luis V. Gutierrez,136822,28859,3459,80.89,17.06,2.05,
Illinois,7,Illinois,D,Danny K. Davis,264367,35748,2998,87.22,11.79,0.99,
Illinois,11,Illinois,D,Bill Foster,153198,107443,4070,57.87,40.59,1.54,
Illinois,3,Illinois,D,Daniel Lipinski,144020,109612,3831,55.94,42.57,1.49,
Illinois,1,Illinois,D,Bobby L. Rush,263184,67644,2702,78.91,20.28,0.81,
Illinois,2,Illinois,D,Robin L. Kelly,251318,57806,2357,80.68,18.56,0.76,
Illinois,9,Illinois,D,Janice D. Schakowsky,200645,102687,5146,65.04,33.29,1.67,
Maine,2,Maine,D,Michael H. Michaud,177283,148845,8967,52.91,44.42,2.68,
Kentucky,1,Kentucky,R,Ed Whitfield,95273,197073,4443,32.1,66.4,1.5,
Kentucky,6,Kentucky,R,Andy Barr,128513,170114,6246,42.15,55.8,2.05,
Kentucky,3,Kentucky,D,John A. Yarmuth,182843,140722,4830,55.68,42.85,1.47,
Kentucky,5,Kentucky,R,Harold Rogers,60798,196137,4529,23.25,75.01,1.73,
Kansas,1,Kansas,R,Tim Huelskamp,72582,184109,6027,27.63,70.08,2.29,
Kansas,4,Kansas,R,Mike Pompeo,96454,164558,6126,36.11,61.6,2.29,
Kansas,2,Kansas,R,Lynn Jenkins,124466,163256,7052,42.22,55.38,2.39,
Kansas,3,Kansas,R,Kevin Yoder,146406,177886,6194,44.3,53.83,1.87,
Iowa,1,Iowa,D,Bruce L. Braley,225585,170753,5163,56.19,42.53,1.29,
Iowa,2,Iowa,D,David Loebsack,219946,168534,5830,55.78,42.74,1.48,
Iowa,3,Iowa,R,Tom Latham,203622,186645,5531,51.45,47.16,1.4,
Iowa,4,Iowa,R,Steve King,173391,204685,5053,45.26,53.42,1.32,
Indiana,8,Indiana,R,Larry Bucshon,114907,169317,5861,39.61,58.37,2.02,
Indiana,4,Indiana,R,Todd Rokita,103103,170245,6314,36.87,60.88,2.26,
Indiana,1,Indiana,D,Peter J. Visclosky,182021,111217,4232,61.19,37.39,1.42,
Indiana,2,Indiana,R,Jackie Walorski,116320,154837,4847,42.14,56.1,1.76,
Indiana,3,Indiana,R,Marlin A. Stutzman,102535,179629,5069,35.7,62.54,1.76,
Indiana,5,Indiana,R,Susan W. Brooks,139300,196744,6121,40.71,57.5,1.79,
Indiana,6,Indiana,R,Luke Messer,106365,172452,6534,37.28,60.44,2.29,
Indiana,9,Indiana,R,Todd C. Young,123436,173433,6521,40.69,57.17,2.15,
Indiana,7,Indiana,D,Andr? Carson,164902,92674,4612,62.89,35.35,1.76,
Montana,(at Large),Montana,R,Steve Daines,200489,264973,13923,41.8,55.3,2.9,
Missouri,5,Missouri,D,Emanuel Cleaver,198324,133115,5833,58.8,39.47,1.73,
Missouri,4,Missouri,R,Vicky Hartzler,119956,201827,7715,36.41,61.25,2.34,
Missouri,3,Missouri,R,Blaine Luetkemeyer,127175,219011,6884,36.02,62.03,1.95,
Missouri,2,Missouri,R,Ann Wagner,170949,235508,5851,41.46,57.12,1.42,
Missouri,1,Missouri,D,Wm. Lacy Clay,280183,66277,4349,79.87,18.89,1.24,
Minnesota,1,Minnesota,D,Timothy J. Walz,170377,165720,7667,49.56,48.21,2.23,
Minnesota,2,Minnesota,R,John Kline,184802,184576,7208,49.07,49.01,1.91,
Minnesota,3,Minnesota,R,Erik Paulsen,199093,195802,6437,49.61,48.79,1.6,
Minnesota,4,Minnesota,D,Betty McCollum,231511,131521,7482,62.48,35.5,2.02,
Minnesota,6,Minnesota,R,Michele Bachmann,151238,205652,7182,41.54,56.49,1.97,
Minnesota,5,Minnesota,D,Keith Ellison,274635,89643,9360,73.5,23.99,2.51,
Minnesota,7,Minnesota,D,Collin C. Peterson,147750,180334,6693,44.13,53.87,2,
Minnesota,8,Minnesota,D,Richard M. Nolan,186761,166977,7499,51.7,46.22,2.08,
Michigan,1,Michigan,R,Dan Benishek,160199,189407,4089,45.29,53.55,1.16,
Michigan,2,Michigan,R,Bill Huizenga,142079,184753,3148,43.06,55.99,0.95,
Michigan,3,Michigan,R,Justin Amash,153066,177740,3627,45.77,53.15,1.08,
Michigan,4,Michigan,R,Dave Camp,146091,171867,3463,45.45,53.47,1.08,
Michigan,5,Michigan,D,Daniel T. Kildee,205800,129904,3263,60.71,38.32,0.96,
Michigan,10,Michigan,R,Candice S. Miller,148429,187652,3236,43.74,55.3,0.95,
Michigan,8,Michigan,R,Mike Rogers,172131,183512,3152,47.97,51.15,0.88,
Michigan,9,Michigan,D,Sander M. Levin,199625,146185,3211,57.2,41.88,0.92,
Michigan,6,Michigan,R,Fred Upton,158951,163310,3241,48.83,50.17,1,
Michigan,7,Michigan,R,Tim Walberg,159008,169266,3541,47.92,51.01,1.07,
Michigan,12,Michigan,D,John D. Dingell,217496,107677,3330,66.21,32.78,1.01,
Michigan,11,Michigan,R,Kerry L. Bentivolio,178768,199308,2808,46.94,52.33,0.74,
Michigan,14,Michigan,D,Gary C. Peters,273270,62794,1427,80.97,18.61,0.42,
Michigan,13,Michigan,D,John Conyers Jr.,249656,41881,1627,85.16,14.29,0.55,
Massachusetts,1,Massachusetts,D,Richard E. Neal,213423,114339,5916,63.96,34.27,1.77,
Massachusetts,2,Massachusetts,D,James P. McGovern,199549,133195,7177,58.7,39.18,2.11,
Massachusetts,3,Massachusetts,D,Niki Tsongas,189461,137869,5595,56.91,41.41,1.68,
Massachusetts,5,Massachusetts,D,Katherine M. Clark,235984,119934,6095,65.19,33.13,1.68,
Massachusetts,6,Massachusetts,D,John F. Tierney,212003,169966,5290,54.74,43.89,1.37,
Massachusetts,9,Massachusetts,D,William R. Keating,212701,165212,5076,55.54,43.14,1.33,
Massachusetts,7,Massachusetts,D,Michael E. Capuano,233382,44275,5374,82.46,15.64,1.9,
Massachusetts,8,Massachusetts,D,Stephen F. Lynch,213364,150825,5050,57.78,40.85,1.37,
Massachusetts,4,Massachusetts,D,Joseph P. Kennedy III,211423,152699,6038,57.12,41.25,1.63,
Maryland,6,Maryland,D,John K. Delaney,179446,137104,6376,55.57,42.46,1.97,
Maryland,8,Maryland,D,Chris Van Hollen,220442,129964,6920,61.69,36.37,1.94,
Maryland,1,Maryland,R,Andy Harris,136872,210634,6780,38.63,59.45,1.91,
Maryland,7,Maryland,D,Elijah E. Cummings,249100,76962,5223,75.19,23.23,1.58,
Maryland,3,Maryland,D,John P. Sarbanes,206975,123783,7189,61.24,36.63,2.13,
Maryland,4,Maryland,D,Donna F. Edwards,256321,67721,3442,78.27,20.68,1.05,
Maryland,5,Maryland,D,Steny H. Hoyer,236424,112828,5235,66.69,31.83,1.48,
North Carolina,5,North Carolina,R,Virginia Foxx,140635,208872,4128,39.77,59.06,1.17,
North Carolina,10,North Carolina,R,Patrick T. McHenry,139439,197768,3768,40.89,58,1.11,
North Carolina,11,North Carolina,R,Mark Meadows,127562,205552,4434,37.79,60.9,1.31,
North Carolina,2,North Carolina,R,Renee L. Ellmers,134004,183952,3304,41.71,57.26,1.03,
Wyoming,(at Large),Wyoming,R,Cynthia M. Lummis,68780,170265,6740,28,69.3,2.8,
West Virginia,1,West Virginia,R,David B. McKinley,81017,141736,5195,35.54,62.18,2.28,
West Virginia,2,West Virginia,R,Shelley Moore Capito,89079,140783,4734,37.97,60.01,2.02,
West Virginia,3,West Virginia,D,Nick J. Rahall II,68173,135136,4585,32.79,65,2.21,
Wisconsin,7,Wisconsin,R,Sean P. Duffy,178043,189332,4653,47.86,50.89,1.25,
Wisconsin,3,Wisconsin,D,Ron Kind,199986,160237,4960,54.76,43.88,1.36,
Wisconsin,2,Wisconsin,D,Mark Pocan,284084,126688,5170,68.3,30.46,1.24,
Wisconsin,1,Wisconsin,R,Paul Ryan,179872,195835,3477,47.44,51.65,0.92,
Wisconsin,8,Wisconsin,R,Reid J. Ribble,177346,191127,4413,47.56,51.26,1.18,
Wisconsin,6,Wisconsin,R,Thomas E. Petri,174988,202979,4328,45.77,53.09,1.13,
Wisconsin,5,Wisconsin,R,F. James Sensenbrenner Jr.,158226,257017,3948,37.75,61.31,0.94,
Wisconsin,4,Wisconsin,D,Gwen Moore,268440,84751,3164,75.33,23.78,0.89,
Washington,5,Washington,R,Cathy McMorris Rodgers,137771,168671,8983,43.68,53.47,2.85,
Washington,4,Washington,R,Doc Hastings,90612,142741,5587,37.92,59.74,2.34,
Washington,8,Washington,R,David G. Reichert,155982,151069,6916,49.68,48.12,2.2,
Washington,3,Washington,R,Jaime Herrera Beutler,145442,150409,7632,47.92,49.56,2.51,
Washington,6,Washington,D,Derek Kilmer,184820,135573,8797,56.14,41.18,2.67,
Washington,10,Washington,D,Denny Heck,164505,120066,7489,56.33,41.11,2.56,
Washington,9,Washington,D,Adam Smith,195851,84824,6184,68.27,29.57,2.16,
Washington,1,Washington,D,Suzan K. DelBene,183802,147074,8613,54.14,43.32,2.54,
Washington,2,Washington,D,Rick Larsen,185771,119266,8631,59.23,38.02,2.75,
Washington,7,Washington,D,Jim McDermott,310840,70977,10618,79.21,18.09,2.71,
Vermont,(at Large),Vermont,D,Peter Welch,199259,92700,5315,67,31.2,1.8,
Virginia,9,Virginia,R,H. Morgan Griffith,108641,196354,6296,34.9,63.08,2.02,
Virginia,5,Virginia,R,Robert Hurt,164555,188485,5649,45.88,52.55,1.57,
Virginia,6,Virginia,R,Bob Goodlatte,132153,197045,5666,39.46,58.84,1.69,
Virginia,1,Virginia,R,Robert J. Wittman,166510,193647,4883,45.61,53.05,1.34,
Virginia,7,Virginia,R,Eric Cantor,163331,222915,5236,41.72,56.94,1.34,
Virginia,3,Virginia,D,Robert C. ?Bobby? Scott,262265,66391,3510,78.96,19.99,1.06,
Virginia,10,Virginia,R,Frank R. Wolf,182432,186650,4831,48.79,49.92,1.29,
Virginia,11,Virginia,D,Gerald E. Connolly,212181,123317,4212,62.46,36.3,1.24,
Virginia,2,Virginia,R,E. Scott Rigell,159695,154935,4219,50.08,48.59,1.32,
Virginia,4,Virginia,R,J. Randy Forbes,176311,181265,3920,48.77,50.14,1.08,
Virginia,8,Virginia,D,James P. Moran,243746,111518,4479,67.76,31,1.25,
Nevada,4,Nevada,D,Steven A. Horsford,136125,109329,4646,54.43,43.71,1.86,
Utah,1,Utah,R,Rob Bishop,51098,193672,5508,20.42,77.38,2.2,
Utah,2,Utah,R,Chris Stewart,74556,173513,7132,29.21,67.99,2.79,
Utah,3,Utah,R,Jason Chaffetz,51791,208121,5944,19.48,78.28,2.24,
Utah,4,Utah,D,Jim Matheson,74368,165294,6404,30.22,67.17,2.6,
Texas,2,Texas,R,Ted Poe,88751,157094,3724,35.56,62.95,1.49,
Texas,13,Texas,R,Mac Thornberry,42521,184104,2920,18.52,80.2,1.27,
Texas,19,Texas,R,Randy Neugebauer,54447,160052,3021,25.03,73.58,1.39,
Texas,11,Texas,R,K. Michael Conaway,45083,182438,2902,19.57,79.18,1.26,
Texas,16,Texas,D,Beto O?Rourke,100993,54315,2106,64.16,34.5,1.34,
Texas,21,Texas,R,Lamar Smith,119220,188241,7130,37.9,59.84,2.27,
Texas,4,Texas,R,Ralph M. Hall,63559,189554,3010,24.82,74.01,1.18,
Texas,3,Texas,R,Sam Johnson,93290,175383,3991,34.21,64.32,1.46,
Texas,5,Texas,R,Jeb Hensarling,73085,137239,2345,34.37,64.53,1.1,
Texas,14,Texas,R,Randy K. Weber Sr.,97958,147213,2902,39.49,59.34,1.17,
Texas,22,Texas,R,Pete Olson,93582,158452,3009,36.69,62.13,1.18,
Texas,9,Texas,D,Al Green,145332,39392,1543,78.02,21.15,0.83,
Texas,27,Texas,R,Blake Farenthold,83157,131821,2793,38.19,60.53,1.28,
Texas,34,Texas,D,Filemon Vela,90885,57303,1323,60.79,38.33,0.88,
Texas,28,Texas,D,Henry Cuellar,101843,65372,1659,60.31,38.71,0.98,
Texas,25,Texas,R,Roger Williams,102433,162279,6095,37.83,59.92,2.25,
Texas,6,Texas,R,Joe Barton,103444,146985,3366,40.76,57.91,1.33,
Texas,31,Texas,R,John R. Carter,92842,144634,5238,38.25,59.59,2.16,
Texas,17,Texas,R,Bill Flores,84531,135309,4239,37.72,60.38,1.89,
Texas,8,Texas,R,Kevin Brady,55273,195742,3152,21.75,77.01,1.24,
Texas,12,Texas,R,Kay Granger,79147,166992,3687,31.68,66.84,1.48,
Texas,33,Texas,D,Marc A. Veasey,86686,32641,1153,71.95,27.09,0.96,
Texas,24,Texas,R,Kenny Marchant,94634,150547,3899,37.99,60.44,1.57,
Texas,32,Texas,R,Pete Sessions,106563,146420,3890,41.48,57,1.51,
Texas,30,Texas,D,Eddie Bernice Johnson,175637,43333,1595,79.63,19.65,0.72,
Texas,26,Texas,R,Michael C. Burgess,80828,177941,4427,30.71,67.61,1.68,
Texas,35,Texas,D,Lloyd Doggett,105545,57989,3933,63.02,34.63,2.35,
Texas,20,Texas,D,Joaquin Castro,110663,74540,2632,58.92,39.68,1.4,
Texas,36,Texas,R,Steve Stockman,61786,175883,2764,25.7,73.15,1.15,
Texas,7,Texas,R,John Abney Culberson,92499,143631,3637,38.58,59.9,1.52,
Texas,18,Texas,D,Sheila Jackson Lee,150129,44991,2086,76.13,22.81,1.06,
Texas,29,Texas,D,Gene Green,75720,37909,1272,65.9,32.99,1.11,
Texas,15,Texas,D,Rub?n Hinojosa,86941,62885,1525,57.44,41.55,1.01,
Texas,23,Texas,D,Pete P. Gallego,94419,99666,2324,48.07,50.74,1.18,
Texas,10,Texas,R,Michael T. McCaul,104839,159714,5583,38.81,59.12,2.07,
Texas,1,Texas,R,Louie Gohmert,69858,181835,2362,27.5,71.57,0.93,
Tennessee,8,Tennessee,R,Stephen Lee Fincher,100139,201570,3192,32.84,66.11,1.05,
Tennessee,9,Tennessee,D,Steve Cohen,200641,53618,1874,78.33,20.93,0.73,
Tennessee,7,Tennessee,R,Marsha Blackburn,92084,183789,3998,32.9,65.67,1.43,
Tennessee,6,Tennessee,R,Diane Black,82281,192611,3967,29.51,69.07,1.42,
Tennessee,5,Tennessee,D,Jim Cooper,152960,116289,4628,55.85,42.46,1.69,
Tennessee,4,Tennessee,R,Scott DesJarlais,86051,169809,4072,33.11,65.33,1.57,
Tennessee,3,Tennessee,R,Charles J. ?Chuck? Fleischmann,95261,171966,4501,35.06,63.29,1.66,
Tennessee,2,Tennessee,R,John J. Duncan Jr.,85520,186350,5058,30.88,67.29,1.83,
Tennessee,1,Tennessee,R,David P. Roe,65772,186328,4248,25.66,72.69,1.66,
South Dakota,(at Large),South Dakota,R,Kristi L. Noem,144988,210541,8166,39.9,57.9,2.3,
South Carolina,3,South Carolina,R,Jeff Duncan,89325,170151,3982,33.9,64.58,1.51,
South Carolina,5,South Carolina,R,Mick Mulvaney,126017,157105,3655,43.94,54.78,1.27,
South Carolina,4,South Carolina,R,Trey Gowdy,99340,170672,4476,36.19,62.18,1.63,
